ABus,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ACE,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ACM,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Activity,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
BIM 360 Locations,MCP-Construction,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CloudOS 2.0,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CSE.V2,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Derivative Service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Forge - Webhooks,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Forge Content Service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Forge HFDM,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Forge Reality Capture API,DCP-Building Infrastructure Design,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
HDS,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Identity,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LEM,DPE-SPG,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Metering V2,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Notifications,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
OSS,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RaaS,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Revit Cloud Upgrade,DCP-Building Infrastructure Design,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Search Service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Translation Service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
BIM 360 Insight,MCP-Construction,100%,100%,100%,100%,100%,100%,100%,67%,100%,98%
Forge - Locale service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,93%,100%,100%,98%
Forge - Subscription service,MCP-Cloud Platform,100%,100%,100%,100%,100%,100%,93%,100%,100%,98%
Forge Schema Service,MCP-Cloud Platform,100%,100%,100%,100%,92%,100%,100%,100%,100%,98%
Ariba on Cloud,DPE-DBP,100%,100%,100%,100%,92%,75%,100%,100%,100%,97%
BIM 360 Design Collaboration,MCP-Construction,100%,100%,100%,89%,100%,100%,90%,100%,100%,97%
BIM 360 Reports,MCP-Construction,100%,100%,100%,100%,100%,100%,100%,33%,100%,97%
Computation Graph Service,DCP-Building Infrastructure Design,100%,100%,100%,100%,85%,100%,100%,100%,100%,97%
Fusion Web,MCP-Manufacturing,100%,100%,100%,100%,92%,100%,100%,67%,100%,97%
Fusion Workflow Service,MCP-Manufacturing,100%,100%,100%,100%,92%,100%,90%,100%,100%,97%
Workflow Service,MCP-Cloud Platform,100%,100%,100%,100%,100%,75%,90%,100%,100%,97%
BIM 360 Data Platform,MCP-Construction,86%,100%,100%,100%,100%,100%,100%,67%,83%,95%
BIM 360 HQ,MCP-Construction,100%,83%,100%,100%,100%,100%,100%,33%,100%,95%
ECCR CORE API,DPE-SPG,100%,100%,100%,100%,85%,100%,93%,100%,100%,95%
Exchange AppStore,MCP-Cloud Platform,86%,100%,100%,100%,100%,100%,87%,100%,100%,95%
Fusion JS,MCP-Manufacturing,71%,100%,75%,100%,100%,100%,100%,100%,100%,95%
Fusion Lifecycle,MCP-Manufacturing,100%,100%,100%,100%,92%,100%,90%,67%,100%,95%
Thunderstorm,DCP-Building Infrastructure Design,100%,100%,100%,100%,85%,100%,100%,67%,100%,95%
Concur,DPE-DBP,86%,83%,100%,100%,85%,100%,100%,100%,100%,94%
Fusion Abus Adapter,MCP-Manufacturing,86%,100%,100%,100%,92%,75%,90%,100%,100%,94%
WIPDM,MCP-Cloud Platform,100%,100%,75%,100%,85%,100%,100%,67%,100%,94%
BIM 360 Nucleus,MCP-Construction,100%,100%,100%,100%,92%,100%,73%,100%,100%,92%
Exchange Gallery,MCP-Cloud Platform,71%,100%,100%,100%,92%,100%,87%,100%,100%,92%
Forge - DM,MCP-Cloud Platform,100%,83%,100%,75%,77%,100%,100%,100%,100%,92%
Fusion Notification Service,MCP-Manufacturing,86%,83%,100%,100%,92%,75%,90%,100%,100%,92%
Ping Federate,MCP-Cloud Platform,100%,100%,100%,100%,92%,50%,100%,67%,83%,92%
Workday,DPE-DBP,57%,100%,100%,100%,92%,100%,100%,67%,100%,92%
BIM 360 Checklists,MCP-Construction,100%,83%,100%,100%,85%,75%,100%,33%,100%,90%
BIM DOS,MCP-Construction,100%,100%,100%,100%,85%,100%,73%,100%,100%,90%
Helium,MCP-Cloud Platform,100%,83%,100%,100%,85%,100%,93%,67%,83%,90%
Revit Cloud Worksharing (Collaboration for Revit - C4R),DCP-Building Infrastructure Design,100%,100%,100%,100%,69%,75%,100%,67%,100%,90%
BIM 360 Submittals & Workflows,MCP-Construction,100%,83%,100%,100%,77%,75%,100%,33%,100%,89%
BIM360 Photos,MCP-Cloud Platform,100%,50%,75%,100%,85%,75%,100%,100%,100%,89%
ASIMS,DPE-DAA,100%,67%,100%,100%,85%,100%,100%,100%,33%,87%
BIM 360 Daily Logs,MCP-Construction,100%,67%,100%,50%,92%,75%,100%,33%,100%,87%
BIM 360 Docs,MCP-Construction,100%,100%,100%,100%,54%,100%,100%,33%,100%,87%
FusionAnyCAD,MCP-Manufacturing,100%,100%,100%,100%,92%,75%,40%,100%,100%,87%
BIM 360 Apps,MCP-Construction,100%,83%,100%,100%,85%,75%,80%,33%,100%,85%
BIM 360 Docs Command Processor,MCP-Construction,100%,100%,100%,100%,85%,100%,67%,33%,100%,85%
Change Data Capture Service,DPE-DES,86%,100%,100%,100%,100%,100%,62%,67%,67%,85%
Core Reporting,DPE-SPG,100%,83%,100%,75%,85%,75%,87%,67%,83%,85%
Forge - API gateway,MCP-Cloud Platform,100%,100%,100%,100%,46%,100%,100%,100%,67%,85%
Informatica,DPE-DES,100%,67%,75%,100%,85%,75%,100%,67%,67%,85%
NTP,DPE-DES,100%,83%,100%,100%,85%,50%,100%,67%,50%,85%
CitiEncryption,DPE-DES,100%,100%,100%,100%,69%,75%,100%,67%,33%,84%
Fusion MAS Receipt Validator,MCP-Manufacturing,71%,100%,75%,100%,69%,75%,80%,100%,100%,84%
Nitrogen,MCP-Cloud Platform,86%,83%,100%,100%,77%,100%,80%,33%,100%,84%
PossibleNow,DPE-DAA,86%,100%,75%,100%,69%,25%,91%,100%,83%,84%
BIM 360 Cost,MCP-Construction,100%,83%,100%,100%,77%,100%,67%,33%,100%,82%
BIM 360 Next Gen Issues,MCP-Construction,86%,83%,100%,25%,77%,75%,100%,33%,100%,82%
Digital Help - ABuS,DPE-DHX,100%,100%,50%,100%,85%,75%,73%,100%,67%,82%
